===============================================================
Date        : Wed May 13 10:49:38 AM -03 2026
SubmitHost  : cei1
SubmitDir   : /home/users/matregnago/intro_hpc
JobID       : 782086
Node(s)     : cei1
===============================================================
[11:11:13] 0179_starpu_lws_dpotrf_n19200_b200_rep4
[11:11:18] 0180_starpu_ws_dgeqrf_n19200_b320_rep4
[11:11:41] 0183_starpu_ws_dgeqrf_n19200_b480_rep4
[11:12:04] 0184_starpu_ws_dgeqrf_n19200_b384_rep4
[11:12:27] 0186_starpu_ws_dgeqrf_n19200_b200_rep4
[11:12:54] 0189_starpu_lws_dgeqrf_n19200_b200_rep4
[11:13:21] 0191_starpu_lws_dgeqrf_n19200_b960_rep4
[11:13:50] 0192_starpu_ws_dgeqrf_n19200_b640_rep4
[11:14:17] 0195_starpu_lws_dpotrf_n19200_b320_rep4
[11:14:21] 0198_starpu_lws_dpotrf_n19200_b384_rep4
[11:14:26] 0200_starpu_lws_dgeqrf_n19200_b256_rep4
[11:14:51] 0201_starpu_ws_dpotrf_n19200_b256_rep4
[11:14:56] 0202_starpu_lws_dgeqrf_n19200_b480_rep4
[11:15:18] 0203_starpu_ws_dpotrf_n19200_b640_rep4
[11:15:23] 0204_starpu_lws_dpotrf_n19200_b480_rep4
[11:15:27] 0206_starpu_ws_dpotrf_n19200_b200_rep4
[11:15:32] 0207_starpu_lws_dgeqrf_n19200_b320_rep4
[11:15:55] 0208_starpu_ws_dgeqrf_n19200_b256_rep4
[11:16:20] 0210_starpu_lws_dpotrf_n19200_b256_rep4
[11:16:25] 0211_starpu_lws_dpotrf_n19200_b960_rep4
[11:16:30] 0212_starpu_ws_dpotrf_n19200_b320_rep4
[11:16:34] 0214_starpu_lws_dgeqrf_n19200_b640_rep4
[11:17:01] 0216_starpu_lws_dpotrf_n19200_b640_rep4
[11:17:05] 0217_starpu_ws_dpotrf_n19200_b480_rep4
[11:17:10] 0218_starpu_ws_dgeqrf_n19200_b960_rep4
[11:17:39] 0225_starpu_ws_dgeqrf_n19200_b320_rep5
[11:18:02] 0229_starpu_lws_dpotrf_n19200_b200_rep5
[11:18:07] 0230_starpu_ws_dgeqrf_n19200_b960_rep5
[11:18:35] 0231_starpu_lws_dgeqrf_n19200_b960_rep5
[11:19:03] 0233_starpu_lws_dgeqrf_n19200_b640_rep5
[11:19:30] 0235_starpu_ws_dgeqrf_n19200_b200_rep5
[11:19:56] 0237_starpu_lws_dgeqrf_n19200_b480_rep5
[11:20:19] 0239_starpu_ws_dgeqrf_n19200_b640_rep5
[11:20:46] 0241_starpu_lws_dgeqrf_n19200_b256_rep5
[11:21:11] 0242_starpu_ws_dgeqrf_n19200_b384_rep5
[11:21:33] 0243_starpu_ws_dpotrf_n19200_b640_rep5
[11:21:38] 0244_starpu_ws_dgeqrf_n19200_b480_rep5
[11:22:00] 0245_starpu_ws_dpotrf_n19200_b200_rep5
[11:22:06] 0247_starpu_ws_dpotrf_n19200_b256_rep5
[11:22:10] 0248_starpu_ws_dgeqrf_n19200_b256_rep5
[11:22:36] 0250_starpu_lws_dgeqrf_n19200_b384_rep5
[11:22:58] 0251_starpu_ws_dpotrf_n19200_b384_rep5
[11:23:03] 0254_starpu_lws_dpotrf_n19200_b384_rep5
[11:23:07] 0255_starpu_ws_dpotrf_n19200_b960_rep5
[11:23:12] 0256_starpu_lws_dpotrf_n19200_b640_rep5
[11:23:16] 0258_starpu_lws_dpotrf_n19200_b480_rep5
[11:23:20] 0260_starpu_lws_dgeqrf_n19200_b200_rep5
[11:23:47] 0261_starpu_lws_dpotrf_n19200_b320_rep5
[11:23:52] 0264_starpu_lws_dpotrf_n19200_b256_rep5
[11:23:56] 0266_starpu_lws_dgeqrf_n19200_b320_rep5
[11:24:19] 0268_starpu_ws_dpotrf_n19200_b480_rep5
[11:24:24] 0278_starpu_lws_dpotrf_n19200_b960_rep5
[11:24:28] 0279_starpu_ws_dpotrf_n19200_b320_rep5
[11:24:37] 0002_parsec_lfq_dpotrf_n19200_b640_rep1
[11:24:41] 0004_parsec_lfq_dgeqrf_n19200_b320_rep1
[11:25:03] 0006_parsec_gd_dpotrf_n19200_b200_rep1
[11:25:07] 0009_parsec_lfq_dpotrf_n19200_b320_rep1
[11:25:11] 0011_parsec_gd_dpotrf_n19200_b320_rep1
[11:25:15] 0012_parsec_lfq_dgeqrf_n19200_b960_rep1
[11:25:43] 0017_parsec_gd_dgeqrf_n19200_b256_rep1
[11:26:08] 0018_parsec_lfq_dpotrf_n19200_b480_rep1
[11:26:12] 0020_parsec_gd_dpotrf_n19200_b960_rep1
[11:26:16] 0021_parsec_gd_dpotrf_n19200_b640_rep1
[11:26:20] 0022_parsec_lfq_dgeqrf_n19200_b480_rep1
[11:26:42] 0023_parsec_lfq_dpotrf_n19200_b960_rep1
[11:26:46] 0024_parsec_gd_dgeqrf_n19200_b320_rep1
[11:27:09] 0028_parsec_gd_dgeqrf_n19200_b200_rep1
[11:27:34] 0029_parsec_lfq_dpotrf_n19200_b200_rep1
[11:27:38] 0030_parsec_lfq_dgeqrf_n19200_b200_rep1
[11:28:04] 0031_parsec_lfq_dgeqrf_n19200_b384_rep1
[11:28:26] 0032_parsec_lfq_dgeqrf_n19200_b256_rep1
[11:28:50] 0033_parsec_lfq_dpotrf_n19200_b384_rep1
[11:28:54] 0037_parsec_gd_dgeqrf_n19200_b480_rep1
[11:29:16] 0039_parsec_gd_dpotrf_n19200_b480_rep1
[11:29:20] 0042_parsec_lfq_dgeqrf_n19200_b640_rep1
[11:29:48] 0043_parsec_gd_dgeqrf_n19200_b384_rep1
[11:30:10] 0048_parsec_gd_dgeqrf_n19200_b640_rep1
[11:30:36] 0049_parsec_lfq_dpotrf_n19200_b256_rep1
[11:30:40] 0052_parsec_gd_dgeqrf_n19200_b960_rep1
[11:31:08] 0054_parsec_gd_dpotrf_n19200_b384_rep1
[11:31:11] 0055_parsec_gd_dpotrf_n19200_b256_rep1
[11:31:15] 0057_parsec_lfq_dgeqrf_n19200_b384_rep2
[11:31:38] 0059_parsec_lfq_dgeqrf_n19200_b640_rep2
[11:32:05] 0061_parsec_gd_dgeqrf_n19200_b320_rep2
[11:32:27] 0062_parsec_gd_dpotrf_n19200_b640_rep2
[11:32:31] 0064_parsec_gd_dgeqrf_n19200_b256_rep2
[11:32:56] 0066_parsec_lfq_dpotrf_n19200_b640_rep2
[11:33:00] 0067_parsec_lfq_dpotrf_n19200_b200_rep2
[11:33:04] 0068_parsec_gd_dpotrf_n19200_b960_rep2
[11:33:09] 0070_parsec_gd_dpotrf_n19200_b384_rep2
[11:33:13] 0072_parsec_lfq_dpotrf_n19200_b320_rep2
[11:33:17] 0074_parsec_lfq_dpotrf_n19200_b256_rep2
[11:33:21] 0075_parsec_lfq_dgeqrf_n19200_b480_rep2
[11:33:43] 0078_parsec_gd_dgeqrf_n19200_b384_rep2
[11:34:05] 0083_parsec_lfq_dgeqrf_n19200_b200_rep2
[11:34:31] 0086_parsec_lfq_dgeqrf_n19200_b320_rep2
[11:34:53] 0088_parsec_gd_dpotrf_n19200_b200_rep2
[11:34:57] 0090_parsec_gd_dpotrf_n19200_b320_rep2
[11:35:01] 0092_parsec_gd_dpotrf_n19200_b480_rep2
[11:35:05] 0093_parsec_lfq_dgeqrf_n19200_b256_rep2
[11:35:29] 0095_parsec_lfq_dgeqrf_n19200_b960_rep2
[11:35:57] 0099_parsec_gd_dgeqrf_n19200_b640_rep2
[11:36:23] 0100_parsec_gd_dgeqrf_n19200_b200_rep2
[11:36:49] 0101_parsec_lfq_dpotrf_n19200_b384_rep2
[11:36:53] 0102_parsec_gd_dgeqrf_n19200_b480_rep2
[11:37:15] 0106_parsec_lfq_dpotrf_n19200_b480_rep2
[11:37:19] 0109_parsec_gd_dgeqrf_n19200_b960_rep2
[11:37:46] 0110_parsec_lfq_dpotrf_n19200_b960_rep2
[11:37:51] 0112_parsec_gd_dpotrf_n19200_b256_rep2
[11:37:54] 0114_parsec_lfq_dpotrf_n19200_b384_rep3
[11:37:58] 0116_parsec_gd_dgeqrf_n19200_b256_rep3
[11:38:23] 0117_parsec_gd_dpotrf_n19200_b960_rep3
[11:38:27] 0118_parsec_gd_dpotrf_n19200_b480_rep3
[11:38:31] 0119_parsec_gd_dgeqrf_n19200_b200_rep3
[11:38:56] 0120_parsec_gd_dpotrf_n19200_b384_rep3
[11:39:00] 0121_parsec_lfq_dpotrf_n19200_b960_rep3
[11:39:05] 0122_parsec_gd_dpotrf_n19200_b320_rep3
[11:39:09] 0124_parsec_gd_dgeqrf_n19200_b640_rep3
[11:39:35] 0129_parsec_lfq_dgeqrf_n19200_b384_rep3
[11:39:57] 0134_parsec_lfq_dgeqrf_n19200_b320_rep3
[11:40:19] 0135_parsec_lfq_dpotrf_n19200_b640_rep3
[11:40:23] 0136_parsec_gd_dgeqrf_n19200_b320_rep3
[11:40:45] 0138_parsec_gd_dgeqrf_n19200_b480_rep3
[11:41:07] 0141_parsec_lfq_dpotrf_n19200_b200_rep3
[11:41:11] 0143_parsec_lfq_dpotrf_n19200_b320_rep3
[11:41:15] 0144_parsec_lfq_dpotrf_n19200_b480_rep3
[11:41:19] 0145_parsec_lfq_dgeqrf_n19200_b200_rep3
[11:41:45] 0146_parsec_lfq_dgeqrf_n19200_b960_rep3
[11:42:13] 0154_parsec_lfq_dgeqrf_n19200_b256_rep3
[11:42:37] 0155_parsec_gd_dpotrf_n19200_b256_rep3
[11:42:41] 0156_parsec_gd_dgeqrf_n19200_b384_rep3
[11:43:03] 0160_parsec_lfq_dpotrf_n19200_b256_rep3
[11:43:07] 0161_parsec_lfq_dgeqrf_n19200_b480_rep3
[11:43:29] 0163_parsec_gd_dgeqrf_n19200_b960_rep3
[11:43:57] 0164_parsec_gd_dpotrf_n19200_b200_rep3
[11:44:01] 0165_parsec_lfq_dgeqrf_n19200_b640_rep3
[11:44:28] 0166_parsec_gd_dpotrf_n19200_b640_rep3
[11:44:32] 0170_parsec_gd_dgeqrf_n19200_b200_rep4
[11:44:58] 0171_parsec_lfq_dpotrf_n19200_b256_rep4
[11:45:02] 0172_parsec_gd_dpotrf_n19200_b640_rep4
[11:45:06] 0174_parsec_lfq_dgeqrf_n19200_b384_rep4
