runtime,scheduler,algorithm,n,b,threads,rep,time,gflops
starpu,lws,dgeqrf,19200,960,24,.3,2.727038e+01,3.460869e+02
starpu,lws,dgeqrf,19200,384,24,.3,2.166336e+01,4.356629e+02
starpu,lws,dpotrf,19200,480,24,.3,3.825825e+00,6.167246e+02
starpu,ws,dgeqrf,19200,256,24,.3,2.400283e+01,3.932004e+02
starpu,lws,dgeqrf,19200,480,24,.3,2.151984e+01,4.385683e+02
starpu,ws,dpotrf,19200,200,24,.3,4.465269e+00,5.284072e+02
starpu,lws,dpotrf,19200,320,24,.3,4.050022e+00,5.825845e+02
starpu,ws,dpotrf,19200,384,24,.3,3.925783e+00,6.010216e+02
starpu,lws,dgeqrf,19200,640,24,.3,2.597625e+01,3.633289e+02
starpu,lws,dgeqrf,19200,320,24,.3,2.203637e+01,4.282885e+02
starpu,lws,dgeqrf,19200,256,24,.3,2.394135e+01,3.942100e+02
starpu,ws,dgeqrf,19200,960,24,.3,2.733389e+01,3.452827e+02
starpu,ws,dpotrf,19200,640,24,.3,3.980717e+00,5.927274e+02
starpu,ws,dpotrf,19200,480,24,.3,3.823661e+00,6.170737e+02
starpu,ws,dpotrf,19200,960,24,.4,4.406858e+00,5.354110e+02
starpu,lws,dgeqrf,19200,384,24,.4,2.166638e+01,4.356020e+02
starpu,ws,dpotrf,19200,384,24,.4,3.955804e+00,5.964604e+02
starpu,lws,dpotrf,19200,200,24,.4,4.416405e+00,5.342536e+02
starpu,ws,dgeqrf,19200,320,24,.4,2.195283e+01,4.299182e+02
starpu,ws,dgeqrf,19200,480,24,.4,2.165504e+01,4.358303e+02
starpu,ws,dgeqrf,19200,384,24,.4,2.170819e+01,4.347633e+02
starpu,ws,dgeqrf,19200,200,24,.4,2.535592e+01,3.722177e+02
starpu,lws,dgeqrf,19200,200,24,.4,2.532257e+01,3.727078e+02
starpu,lws,dgeqrf,19200,960,24,.4,2.864239e+01,3.295089e+02
starpu,ws,dgeqrf,19200,640,24,.4,2.615882e+01,3.607930e+02
starpu,lws,dpotrf,19200,320,24,.4,4.077709e+00,5.786289e+02
starpu,lws,dpotrf,19200,384,24,.4,3.906983e+00,6.039137e+02
starpu,lws,dgeqrf,19200,256,24,.4,2.390862e+01,3.947498e+02
starpu,ws,dpotrf,19200,256,24,.4,4.090064e+00,5.768810e+02
starpu,lws,dgeqrf,19200,480,24,.4,2.157147e+01,4.375187e+02
starpu,ws,dpotrf,19200,640,24,.4,3.980027e+00,5.928302e+02
starpu,lws,dpotrf,19200,480,24,.4,3.782066e+00,6.238602e+02
starpu,ws,dpotrf,19200,200,24,.4,4.431679e+00,5.324123e+02
starpu,lws,dgeqrf,19200,320,24,.4,2.201643e+01,4.286764e+02
starpu,ws,dgeqrf,19200,256,24,.4,2.405985e+01,3.922685e+02
starpu,lws,dpotrf,19200,256,24,.4,4.032176e+00,5.851630e+02
starpu,lws,dpotrf,19200,960,24,.4,4.076642e+00,5.787804e+02
starpu,ws,dpotrf,19200,320,24,.4,4.047664e+00,5.829239e+02
starpu,lws,dgeqrf,19200,640,24,.4,2.622181e+01,3.599263e+02
starpu,lws,dpotrf,19200,640,24,.4,3.919968e+00,6.019131e+02
starpu,ws,dpotrf,19200,480,24,.4,3.810476e+00,6.192088e+02
starpu,ws,dgeqrf,19200,960,24,.4,2.875333e+01,3.282375e+02
starpu,ws,dgeqrf,19200,320,24,.5,2.206750e+01,4.276843e+02
starpu,lws,dpotrf,19200,200,24,.5,4.407743e+00,5.353035e+02
starpu,ws,dgeqrf,19200,960,24,.5,2.734768e+01,3.451087e+02
starpu,lws,dgeqrf,19200,960,24,.5,2.692009e+01,3.505902e+02
starpu,lws,dgeqrf,19200,640,24,.5,2.609935e+01,3.616151e+02
starpu,ws,dgeqrf,19200,200,24,.5,2.529542e+01,3.731080e+02
starpu,lws,dgeqrf,19200,480,24,.5,2.152303e+01,4.385033e+02
starpu,ws,dgeqrf,19200,640,24,.5,2.596062e+01,3.635477e+02
starpu,lws,dgeqrf,19200,256,24,.5,2.390182e+01,3.948621e+02
starpu,ws,dgeqrf,19200,384,24,.5,2.167349e+01,4.354593e+02
starpu,ws,dpotrf,19200,640,24,.5,3.987708e+00,5.916884e+02
starpu,ws,dgeqrf,19200,480,24,.5,2.157575e+01,4.374318e+02
starpu,ws,dpotrf,19200,200,24,.5,4.515510e+00,5.225280e+02
starpu,ws,dpotrf,19200,256,24,.5,4.114212e+00,5.734950e+02
starpu,ws,dgeqrf,19200,256,24,.5,2.398974e+01,3.934150e+02
starpu,lws,dgeqrf,19200,384,24,.5,2.164294e+01,4.360738e+02
starpu,ws,dpotrf,19200,384,24,.5,3.922117e+00,6.015833e+02
starpu,lws,dpotrf,19200,384,24,.5,3.912005e+00,6.031384e+02
starpu,ws,dpotrf,19200,960,24,.5,4.031385e+00,5.852779e+02
starpu,lws,dpotrf,19200,640,24,.5,3.873370e+00,6.091544e+02
starpu,lws,dpotrf,19200,480,24,.5,3.803078e+00,6.204133e+02
