runtime,scheduler,algorithm,precision,n,b,threads,gpus,rep,time,gflops
starpu,dmda,sgeqrf,FP32,19200,720,16,1,4,3.035783e+00,3.108892e+03
starpu,dmda,dgeqrf,FP64,19200,1920,16,1,4,1.767038e+01,5.341096e+02
starpu,dmda,sgeqrf,FP32,19200,1920,16,1,4,2.839144e+00,3.324213e+03
starpu,dmda,dgeqrf,FP64,19200,1440,16,1,4,1.544773e+01,6.109585e+02
starpu,dmda,dgeqrf,FP64,19200,480,16,1,4,1.268153e+01,7.442256e+02
starpu,dmda,dpotrf,FP64,19200,480,16,1,4,2.538186e+00,9.295930e+02
starpu,dmda,spotrf,FP32,19200,480,16,1,4,3.879097e-01,6.082551e+03
starpu,dmda,dgeqrf,FP64,19200,960,16,1,4,1.625272e+01,5.806979e+02
starpu,dmda,spotrf,FP32,19200,960,16,1,4,2.699404e-01,8.740747e+03
starpu,dmda,spotrf,FP32,19200,1440,16,1,4,2.418167e-01,9.757307e+03
starpu,dmda,spotrf,FP32,19200,1920,16,1,4,2.415172e-01,9.769408e+03
starpu,dmda,sgeqrf,FP32,19200,960,16,1,4,2.292556e+00,4.116769e+03
starpu,dmda,sgeqrf,FP32,19200,1440,16,1,4,1.980886e+00,4.764495e+03
starpu,dmda,sgeqrf,FP32,19200,480,16,1,4,4.232051e+00,2.230106e+03
starpu,dmda,dpotrf,FP64,19200,1440,16,1,4,3.242679e+00,7.276331e+02
starpu,dmda,dgeqrf,FP64,19200,720,16,1,4,1.470634e+01,6.417588e+02
starpu,dmda,dpotrf,FP64,19200,1920,16,1,4,3.389211e+00,6.961739e+02
starpu,dmda,dpotrf,FP64,19200,960,16,1,4,2.507152e+00,9.411000e+02
starpu,dmda,dpotrf,FP64,19200,720,16,1,4,2.916983e+00,8.088770e+02
starpu,dmda,spotrf,FP32,19200,720,16,1,4,3.028101e-01,7.791948e+03
starpu,dmda,dgeqrf,FP64,19200,960,16,1,5,1.641142e+01,5.750825e+02
starpu,dmda,dpotrf,FP64,19200,1440,16,1,5,2.879332e+00,8.194542e+02
starpu,dmda,dgeqrf,FP64,19200,1440,16,1,5,1.586427e+01,5.949169e+02
starpu,dmda,sgeqrf,FP32,19200,1440,16,1,5,1.921748e+00,4.911113e+03
starpu,dmda,dpotrf,FP64,19200,480,16,1,5,2.554703e+00,9.235832e+02
starpu,dmda,spotrf,FP32,19200,480,16,1,5,3.995292e-01,5.905652e+03
starpu,dmda,sgeqrf,FP32,19200,480,16,1,5,4.286469e+00,2.201794e+03
starpu,dmda,spotrf,FP32,19200,960,16,1,5,2.852966e-01,8.270271e+03
starpu,dmda,dpotrf,FP64,19200,720,16,1,5,2.728223e+00,8.648414e+02
starpu,dmda,spotrf,FP32,19200,1920,16,1,5,2.380391e-01,9.912154e+03
starpu,dmda,dgeqrf,FP64,19200,1920,16,1,5,1.760704e+01,5.360312e+02
starpu,dmda,spotrf,FP32,19200,720,16,1,5,3.380351e-01,6.979986e+03
starpu,dmda,dgeqrf,FP64,19200,720,16,1,5,1.475324e+01,6.397187e+02
starpu,dmda,dgeqrf,FP64,19200,480,16,1,5,1.279149e+01,7.378279e+02
starpu,dmda,spotrf,FP32,19200,1440,16,1,5,2.419799e-01,9.750728e+03
starpu,dmda,sgeqrf,FP32,19200,1920,16,1,5,2.424766e+00,3.892302e+03
starpu,dmda,dpotrf,FP64,19200,960,16,1,5,2.408255e+00,9.797467e+02
starpu,dmda,sgeqrf,FP32,19200,960,16,1,5,2.293704e+00,4.114708e+03
starpu,dmda,dpotrf,FP64,19200,1920,16,1,5,3.536576e+00,6.671652e+02
starpu,dmda,sgeqrf,FP32,19200,720,16,1,5,3.032791e+00,3.111959e+03
parsec,lfq,sgeqrf,FP32,19200,1920,16,1,1,4.807512e+00,1.963161e+03
parsec,lfq,dpotrf,FP64,19200,1440,16,1,1,NA,NA
parsec,lfq,sgeqrf,FP32,19200,480,16,1,1,9.157497e+00,1.030622e+03
parsec,lfq,spotrf,FP32,19200,1440,16,1,1,NA,NA
parsec,lfq,spotrf,FP32,19200,480,16,1,1,8.973029e-01,2.629525e+03
parsec,lfq,dgeqrf,FP64,19200,960,16,1,1,2.511847e+01,3.757363e+02
parsec,lfq,dpotrf,FP64,19200,480,16,1,1,2.606937e+00,9.050776e+02
parsec,lfq,sgeqrf,FP32,19200,1440,16,1,1,NA,NA
parsec,lfq,dpotrf,FP64,19200,960,16,1,1,3.204699e+00,7.362564e+02
parsec,lfq,sgeqrf,FP32,19200,960,16,1,1,3.491857e+00,2.702837e+03
parsec,lfq,spotrf,FP32,19200,720,16,1,1,NA,NA
parsec,lfq,dgeqrf,FP64,19200,720,16,1,1,NA,NA
parsec,lfq,spotrf,FP32,19200,960,16,1,1,8.656869e-01,2.725559e+03
parsec,lfq,sgeqrf,FP32,19200,720,16,1,1,NA,NA
parsec,lfq,dgeqrf,FP64,19200,1440,16,1,1,NA,NA
parsec,lfq,dpotrf,FP64,19200,1920,16,1,1,3.915458e+00,6.026065e+02
parsec,lfq,dgeqrf,FP64,19200,1920,16,1,1,2.725598e+01,3.462697e+02
parsec,lfq,dgeqrf,FP64,19200,480,16,1,1,2.801535e+01,3.368840e+02
parsec,lfq,spotrf,FP32,19200,1920,16,1,1,1.011206e+00,2.333333e+03
parsec,lfq,dpotrf,FP64,19200,720,16,1,1,NA,NA
parsec,lfq,sgeqrf,FP32,19200,480,16,1,2,9.080365e+00,1.039377e+03
parsec,lfq,spotrf,FP32,19200,720,16,1,2,NA,NA
parsec,lfq,sgeqrf,FP32,19200,1920,16,1,2,5.016269e+00,1.881462e+03
parsec,lfq,spotrf,FP32,19200,1920,16,1,2,6.763842e-01,3.488373e+03
parsec,lfq,dgeqrf,FP64,19200,480,16,1,2,2.800440e+01,3.370156e+02
parsec,lfq,dgeqrf,FP64,19200,960,16,1,2,2.540590e+01,3.714855e+02
parsec,lfq,dpotrf,FP64,19200,480,16,1,2,2.609384e+00,9.042289e+02
parsec,lfq,spotrf,FP32,19200,1440,16,1,2,NA,NA
parsec,lfq,dgeqrf,FP64,19200,1440,16,1,2,NA,NA
parsec,lfq,dpotrf,FP64,19200,1920,16,1,2,4.553631e+00,5.181536e+02
parsec,lfq,sgeqrf,FP32,19200,720,16,1,2,NA,NA
parsec,lfq,spotrf,FP32,19200,960,16,1,2,7.550449e-01,3.124954e+03
parsec,lfq,dgeqrf,FP64,19200,1920,16,1,2,2.856860e+01,3.303600e+02
parsec,lfq,dpotrf,FP64,19200,720,16,1,2,NA,NA
parsec,lfq,sgeqrf,FP32,19200,960,16,1,2,3.972505e+00,2.375811e+03
parsec,lfq,sgeqrf,FP32,19200,1440,16,1,2,NA,NA
parsec,lfq,spotrf,FP32,19200,480,16,1,2,1.131056e+00,2.086086e+03
parsec,lfq,dpotrf,FP64,19200,960,16,1,2,3.025475e+00,7.798710e+02
parsec,lfq,dgeqrf,FP64,19200,720,16,1,2,NA,NA
parsec,lfq,dpotrf,FP64,19200,1440,16,1,2,NA,NA
parsec,lfq,spotrf,FP32,19200,1440,16,1,3,NA,NA
parsec,lfq,spotrf,FP32,19200,480,16,1,3,1.140894e+00,2.068098e+03
parsec,lfq,sgeqrf,FP32,19200,960,16,1,3,3.755813e+00,2.512884e+03
parsec,lfq,sgeqrf,FP32,19200,480,16,1,3,1.490956e+01,6.330112e+02
parsec,lfq,dpotrf,FP64,19200,720,16,1,3,NA,NA
parsec,lfq,dpotrf,FP64,19200,960,16,1,3,2.919598e+00,8.081524e+02
parsec,lfq,dpotrf,FP64,19200,1440,16,1,3,NA,NA
parsec,lfq,spotrf,FP32,19200,960,16,1,3,7.098792e-01,3.323777e+03
parsec,lfq,dpotrf,FP64,19200,1920,16,1,3,4.780894e+00,4.935228e+02
parsec,lfq,spotrf,FP32,19200,720,16,1,3,NA,NA
parsec,lfq,dgeqrf,FP64,19200,960,16,1,3,2.611023e+01,3.614644e+02
parsec,lfq,dgeqrf,FP64,19200,720,16,1,3,NA,NA
parsec,lfq,dgeqrf,FP64,19200,480,16,1,3,2.824881e+01,3.340998e+02
parsec,lfq,sgeqrf,FP32,19200,1920,16,1,3,4.507276e+00,2.093930e+03
parsec,lfq,dpotrf,FP64,19200,480,16,1,3,2.770988e+00,8.514942e+02
parsec,lfq,sgeqrf,FP32,19200,1440,16,1,3,NA,NA
parsec,lfq,spotrf,FP32,19200,1920,16,1,3,8.210421e-01,2.873763e+03
parsec,lfq,sgeqrf,FP32,19200,720,16,1,3,NA,NA
parsec,lfq,dgeqrf,FP64,19200,1440,16,1,3,NA,NA
parsec,lfq,dgeqrf,FP64,19200,1920,16,1,3,2.761376e+01,3.417832e+02
parsec,lfq,dpotrf,FP64,19200,480,16,1,4,2.556090e+00,9.230818e+02
parsec,lfq,sgeqrf,FP32,19200,1440,16,1,4,NA,NA
parsec,lfq,sgeqrf,FP32,19200,1920,16,1,4,4.891378e+00,1.929502e+03
parsec,lfq,sgeqrf,FP32,19200,720,16,1,4,NA,NA
parsec,lfq,dpotrf,FP64,19200,1920,16,1,4,4.137211e+00,5.703070e+02
parsec,lfq,dgeqrf,FP64,19200,480,16,1,4,2.764317e+01,3.414197e+02
parsec,lfq,spotrf,FP32,19200,480,16,1,4,8.681891e-01,2.717703e+03
parsec,lfq,dgeqrf,FP64,19200,960,16,1,4,2.528818e+01,3.732148e+02
parsec,lfq,dpotrf,FP64,19200,960,16,1,4,3.118591e+00,7.565854e+02
parsec,lfq,spotrf,FP32,19200,1920,16,1,4,7.371049e-01,3.201010e+03
parsec,lfq,dgeqrf,FP64,19200,1440,16,1,4,NA,NA
parsec,lfq,dpotrf,FP64,19200,1440,16,1,4,NA,NA
parsec,lfq,spotrf,FP32,19200,960,16,1,4,6.883430e-01,3.427768e+03
parsec,lfq,sgeqrf,FP32,19200,960,16,1,4,3.509593e+00,2.689178e+03
parsec,lfq,dpotrf,FP64,19200,720,16,1,4,NA,NA
parsec,lfq,dgeqrf,FP64,19200,1920,16,1,4,2.855279e+01,3.305429e+02
parsec,lfq,dgeqrf,FP64,19200,720,16,1,4,NA,NA
parsec,lfq,spotrf,FP32,19200,1440,16,1,4,NA,NA
parsec,lfq,spotrf,FP32,19200,720,16,1,4,NA,NA
parsec,lfq,sgeqrf,FP32,19200,480,16,1,4,9.162182e+00,1.030095e+03
parsec,lfq,spotrf,FP32,19200,1920,16,1,5,7.576821e-01,3.114077e+03
parsec,lfq,sgeqrf,FP32,19200,1920,16,1,5,4.718145e+00,2.000346e+03
parsec,lfq,sgeqrf,FP32,19200,960,16,1,5,3.536062e+00,2.669049e+03
parsec,lfq,dgeqrf,FP64,19200,1920,16,1,5,2.969555e+01,3.178227e+02
parsec,lfq,spotrf,FP32,19200,960,16,1,5,9.760940e-01,2.417268e+03
parsec,lfq,dgeqrf,FP64,19200,480,16,1,5,2.800810e+01,3.369712e+02
parsec,lfq,sgeqrf,FP32,19200,720,16,1,5,NA,NA
parsec,lfq,sgeqrf,FP32,19200,1440,16,1,5,NA,NA
parsec,lfq,spotrf,FP32,19200,720,16,1,5,NA,NA
parsec,lfq,dpotrf,FP64,19200,480,16,1,5,2.537758e+00,9.297500e+02
parsec,lfq,sgeqrf,FP32,19200,480,16,1,5,9.097865e+00,1.037378e+03
parsec,lfq,dpotrf,FP64,19200,960,16,1,5,3.124652e+00,7.551178e+02
parsec,lfq,dgeqrf,FP64,19200,960,16,1,5,2.590354e+01,3.643487e+02
parsec,lfq,dgeqrf,FP64,19200,720,16,1,5,NA,NA
parsec,lfq,spotrf,FP32,19200,1440,16,1,5,NA,NA
parsec,lfq,dpotrf,FP64,19200,1920,16,1,5,4.257079e+00,5.542487e+02
parsec,lfq,spotrf,FP32,19200,480,16,1,5,1.105485e+00,2.134340e+03
parsec,lfq,dpotrf,FP64,19200,720,16,1,5,NA,NA
parsec,lfq,dgeqrf,FP64,19200,1440,16,1,5,NA,NA
parsec,lfq,dpotrf,FP64,19200,1440,16,1,5,NA,NA
