runtime,scheduler,algorithm,n,b,threads,rep,time,gflops,exit_status
starpu,lws,geqrf,19200,320,24,4,2.207766e+01,4.274873e+02,0
starpu,lws,potrf,11520,320,24,3,9.146430e-01,5.572385e+02,0
starpu,lws,geqrf,11520,320,24,5,4.834233e+00,4.217209e+02,0
starpu,dmda,geqrf,1920,320,24,3,1.464356e-01,6.449639e+01,0
starpu,dmda,potrf,11520,320,24,1,8.943141e-01,5.699052e+02,0
starpu,lws,potrf,15360,320,24,1,2.129876e+00,5.672057e+02,0
starpu,dmda,geqrf,3840,320,24,2,3.360645e-01,2.247395e+02,0
starpu,lws,geqrf,1920,320,24,2,9.346852e-02,1.010454e+02,0
starpu,dmda,geqrf,19200,320,24,3,2.206120e+01,4.278063e+02,0
starpu,lws,potrf,7680,320,24,2,2.962256e-01,5.098292e+02,0
starpu,dmda,potrf,3840,320,24,3,6.552213e-02,2.881735e+02,0
starpu,dmda,potrf,19200,320,24,4,4.101290e+00,5.753019e+02,0
starpu,dmda,geqrf,1920,320,24,2,1.281126e-01,7.372081e+01,0
starpu,lws,potrf,15360,320,24,5,2.127989e+00,5.677086e+02,0
starpu,dmda,geqrf,3840,320,24,3,3.442324e-01,2.194070e+02,0
starpu,dmda,potrf,19200,320,24,2,4.063959e+00,5.805867e+02,0
starpu,lws,geqrf,3840,320,24,5,2.553912e-01,2.957306e+02,0
starpu,dmda,potrf,19200,320,24,3,4.157213e+00,5.675629e+02,0
starpu,lws,geqrf,7680,320,24,1,1.522712e+00,3.967250e+02,0
starpu,lws,potrf,1920,320,24,2,2.375019e-02,9.941562e+01,0
starpu,dmda,potrf,7680,320,24,2,2.909143e-01,5.191372e+02,0
starpu,dmda,geqrf,15360,320,24,5,1.149479e+01,4.203912e+02,0
starpu,lws,geqrf,19200,320,24,2,2.193804e+01,4.302081e+02,0
starpu,dmda,geqrf,11520,320,24,3,4.955072e+00,4.114364e+02,0
starpu,lws,geqrf,15360,320,24,1,1.135257e+01,4.256579e+02,0
starpu,lws,geqrf,19200,320,24,5,2.201342e+01,4.287348e+02,0
