runtime,scheduler,algorithm,precision,n,b,threads,gpus,rep,time,gflops
starpu,dmda,spotrf,FP32,19200,960,16,1,1,2.529257e-01,9.328749e+03
starpu,dmdas,spotrf,FP32,19200,960,16,1,1,2.450621e-01,9.628093e+03
starpu,dmda,sgeqrf,FP32,19200,960,16,1,1,2.557025e+00,3.690978e+03
starpu,dmdas,sgeqrf,FP32,19200,960,16,1,1,2.251373e+00,4.192073e+03
parsec,lfq,spotrf,FP32,19200,960,16,1,1,9.776330e-01,2.413462e+03
parsec,gd,spotrf,FP32,19200,960,16,1,1,9.968672e-01,2.366895e+03
parsec,lfq,sgeqrf,FP32,19200,960,16,1,1,3.536769e+00,2.668515e+03
parsec,gd,sgeqrf,FP32,19200,960,16,1,1,3.470830e+00,2.719212e+03
