precision,algorithm,n,b,runtime,scheduler,rep
FP32,potrf,19200,960,starpu,dmdas,1
FP32,geqrf,19200,960,starpu,dmdas,1
FP32,potrf,19200,960,parsec,lfq,1
FP32,geqrf,19200,960,parsec,lfq,1
