"algo","cfg","runtime","makespan","abe","workers","cpb","gpu","is_gpu","eff_abe","eff_cpb","eff_gpu"
"spotrf","starpu:dmda","starpu",252.333528,NA,17,112.860316,230.459229,TRUE,NA,2.23580384091782,1.09491613373401
"spotrf","starpu:dmdas","starpu",244.417504,NA,17,147.796728,223.006959,TRUE,NA,1.65374096779734,1.09600841649072
"sgeqrf","starpu:dmda","starpu",2553.273844,NA,17,1186.699851,2343.73582,TRUE,NA,2.15157509445074,1.08940343114268
"sgeqrf","starpu:dmdas","starpu",2247.535638,NA,17,1148.638231,2119.164373,TRUE,NA,1.95669583106537,1.06057636049169
"spotrf","parsec:lfq","parsec",1040.822424,NA,17,616.632723,962.074054,TRUE,NA,1.68791305614834,1.08185271151695
"spotrf","parsec:gd","parsec",1058.485946,NA,17,554.70025,987.505996,TRUE,NA,1.90821249134104,1.07187799394385
"sgeqrf","parsec:lfq","parsec",3630.109388,NA,17,2990.49621,3320.268041,TRUE,NA,1.21388195573068,1.09331817286254
"sgeqrf","parsec:gd","parsec",3563.388302,NA,17,2606.56962,3220.07061,TRUE,NA,1.36707965697843,1.10661806326042
