"cfg","span","starved","mean_ready","starved_pct"
"sgeqrf parsec:gd",3535.613596,640.819423999995,18.39809171924,18.1247018827222
"sgeqrf parsec:lfq",3618.796488,666.616716999995,13.8834444889624,18.4209507003367
"sgeqrf starpu:dmda",3022.227266,576.169854000001,45.1678244064257,19.0644118819885
"sgeqrf starpu:dmdas",2725.64232,586.328145000001,28.677637792181,21.5115586039184
"spotrf parsec:gd",1057.284862,228.387673,37.4865711923907,21.6013376535036
"spotrf parsec:lfq",1039.18423,147.146527,43.2348205630488,14.1598113935967
"spotrf starpu:dmda",633.127629,412.051089,16.3363667817441,65.0818366039117
"spotrf starpu:dmdas",569.17222,352.23955,18.6462937702757,61.8862863686495
