===============================================================
Date        : Wed May 13 10:49:42 AM -03 2026
SubmitHost  : cei2
SubmitDir   : /home/users/matregnago/intro_hpc
JobID       : 782087
Node(s)     : cei2
===============================================================
[11:09:42] 0178_starpu_ws_dgeqrf_n21600_b480_rep2
[11:10:14] 0179_starpu_ws_dgeqrf_n7200_b480_rep2
[11:10:16] 0180_starpu_lws_dgeqrf_n21600_b480_rep2
[11:10:48] 0181_starpu_lws_dgeqrf_n9600_b480_rep2
[11:10:52] 0182_starpu_lws_dgeqrf_n4800_b480_rep2
[11:10:52] 0184_starpu_ws_dpotrf_n2400_b480_rep2
[11:10:52] 0186_starpu_ws_dpotrf_n12000_b480_rep2
[11:10:54] 0190_starpu_lws_dpotrf_n28800_b480_rep2
[11:11:08] 0191_starpu_lws_dpotrf_n26400_b480_rep2
[11:11:19] 0199_starpu_ws_dgeqrf_n7200_b480_rep3
[11:11:20] 0200_starpu_lws_dgeqrf_n2400_b480_rep3
[11:11:20] 0203_starpu_ws_dgeqrf_n14400_b480_rep3
[11:11:30] 0204_starpu_ws_dgeqrf_n19200_b480_rep3
[11:11:53] 0205_starpu_ws_dpotrf_n16800_b480_rep3
[11:11:56] 0210_starpu_ws_dpotrf_n4800_b480_rep3
[11:11:56] 0211_starpu_ws_dpotrf_n21600_b480_rep3
[11:12:03] 0212_starpu_lws_dpotrf_n19200_b480_rep3
[11:12:07] 0214_starpu_ws_dgeqrf_n16800_b480_rep3
[11:12:23] 0216_starpu_lws_dgeqrf_n7200_b480_rep3
[11:12:24] 0217_starpu_lws_dgeqrf_n4800_b480_rep3
[11:12:25] 0218_starpu_ws_dpotrf_n14400_b480_rep3
[11:12:27] 0220_starpu_ws_dpotrf_n2400_b480_rep3
[11:12:27] 0221_starpu_ws_dpotrf_n9600_b480_rep3
[11:12:28] 0223_starpu_ws_dgeqrf_n4800_b480_rep3
[11:12:28] 0225_starpu_lws_dgeqrf_n24000_b480_rep3
[11:13:12] 0226_starpu_ws_dpotrf_n7200_b480_rep3
[11:13:13] 0227_starpu_ws_dgeqrf_n21600_b480_rep3
[11:13:45] 0230_starpu_lws_dpotrf_n2400_b480_rep3
[11:13:45] 0232_starpu_lws_dgeqrf_n16800_b480_rep3
[11:14:00] 0234_starpu_lws_dgeqrf_n14400_b480_rep3
[11:14:10] 0236_starpu_lws_dgeqrf_n19200_b480_rep3
[11:14:33] 0237_starpu_ws_dgeqrf_n24000_b480_rep3
[11:15:17] 0238_starpu_lws_dgeqrf_n12000_b480_rep3
[11:15:23] 0239_starpu_ws_dgeqrf_n12000_b480_rep3
[11:15:29] 0240_starpu_ws_dgeqrf_n2400_b480_rep3
[11:15:29] 0241_starpu_ws_dpotrf_n12000_b480_rep3
[11:15:31] 0243_starpu_lws_dgeqrf_n26400_b480_rep3
[11:16:29] 0245_starpu_lws_dgeqrf_n28800_b480_rep3
[11:17:44] 0249_starpu_lws_dpotrf_n21600_b480_rep3
[11:17:50] 0250_starpu_lws_dgeqrf_n21600_b480_rep3
[11:18:22] 0251_starpu_ws_dgeqrf_n28800_b480_rep3
[11:19:38] 0252_starpu_ws_dgeqrf_n9600_b480_rep3
[11:19:41] 0253_starpu_lws_dgeqrf_n9600_b480_rep3
[11:19:44] 0254_starpu_lws_dpotrf_n9600_b480_rep3
[11:19:45] 0256_starpu_lws_dpotrf_n12000_b480_rep3
[11:19:46] 0259_starpu_lws_dpotrf_n7200_b480_rep3
[11:19:47] 0261_starpu_lws_dpotrf_n14400_b480_rep3
[11:19:49] 0263_starpu_ws_dpotrf_n24000_b480_rep3
[11:19:57] 0264_starpu_lws_dpotrf_n4800_b480_rep3
[11:19:57] 0275_starpu_lws_dpotrf_n26400_b480_rep3
