runtime,scheduler,algorithm,n,b,threads,rep,time,gflops
starpu,ws,dpotrf,19200,480,24,.1,3.878496e+00,6.083493e+02
starpu,lws,dpotrf,2400,480,24,.1,5.770869e-02,7.989923e+01
starpu,ws,dgeqrf,12000,480,24,.1,5.448555e+00,4.229172e+02
starpu,ws,dpotrf,24000,480,24,.1,7.362775e+00,6.258901e+02
starpu,lws,dgeqrf,16800,480,24,.1,1.462712e+01,4.322615e+02
starpu,lws,dpotrf,26400,480,24,.1,9.859695e+00,6.220878e+02
starpu,lws,dpotrf,9600,480,24,.1,5.522093e-01,5.341419e+02
starpu,ws,dpotrf,16800,480,24,.1,2.646731e+00,5.972217e+02
starpu,ws,dgeqrf,24000,480,24,.1,4.209553e+01,4.378885e+02
starpu,ws,dpotrf,12000,480,24,.1,9.789108e-01,5.884826e+02
starpu,ws,dpotrf,14400,480,24,.1,1.701785e+00,5.849340e+02
starpu,ws,dgeqrf,21600,480,24,.1,3.134551e+01,4.287013e+02
starpu,ws,dgeqrf,16800,480,24,.1,1.488081e+01,4.248922e+02
starpu,lws,dgeqrf,24000,480,24,.1,4.292534e+01,4.294235e+02
starpu,ws,dgeqrf,4800,480,24,.1,5.651882e-01,2.609788e+02
starpu,ws,dgeqrf,19200,480,24,.1,2.191866e+01,4.305883e+02
starpu,ws,dpotrf,2400,480,24,.1,5.871903e-02,7.852447e+01
starpu,lws,dgeqrf,7200,480,24,.1,1.375074e+00,3.619933e+02
starpu,lws,dgeqrf,28800,480,24,.1,7.350573e+01,4.333289e+02
starpu,ws,dgeqrf,9600,480,24,.1,2.918624e+00,4.042426e+02
starpu,lws,dgeqrf,2400,480,24,.1,2.256315e-01,8.174181e+01
starpu,ws,dpotrf,26400,480,24,.1,1.010690e+01,6.068721e+02
starpu,lws,dgeqrf,21600,480,24,.1,3.117735e+01,4.310136e+02
starpu,lws,dgeqrf,26400,480,24,.1,5.679978e+01,4.319451e+02
starpu,lws,dpotrf,28800,480,24,.1,1.320953e+01,6.028255e+02
starpu,lws,dpotrf,14400,480,24,.1,1.661718e+00,5.990377e+02
starpu,lws,dpotrf,21600,480,24,.1,5.688736e+00,5.905469e+02
starpu,ws,dgeqrf,14400,480,24,.1,9.381041e+00,4.244440e+02
starpu,lws,dpotrf,16800,480,24,.1,2.673974e+00,5.911370e+02
starpu,ws,dgeqrf,28800,480,24,.1,7.379034e+01,4.316575e+02
starpu,ws,dpotrf,7200,480,24,.1,2.700231e-01,4.608566e+02
starpu,lws,dgeqrf,14400,480,24,.1,9.341896e+00,4.262226e+02
starpu,lws,dgeqrf,19200,480,24,.1,2.198330e+01,4.293223e+02
starpu,ws,dgeqrf,26400,480,24,.1,5.694972e+01,4.308078e+02
starpu,ws,dpotrf,28800,480,24,.1,1.324939e+01,6.010118e+02
starpu,lws,dpotrf,12000,480,24,.1,9.739661e-01,5.914703e+02
starpu,ws,dgeqrf,7200,480,24,.1,1.379000e+00,3.609627e+02
starpu,ws,dpotrf,21600,480,24,.1,5.717229e+00,5.876037e+02
starpu,lws,dgeqrf,12000,480,24,.1,5.553714e+00,4.149094e+02
starpu,ws,dgeqrf,2400,480,24,.1,2.224081e-01,8.292652e+01
starpu,lws,dpotrf,4800,480,24,.1,1.350933e-01,2.729633e+02
starpu,ws,dpotrf,9600,480,24,.1,5.507773e-01,5.355306e+02
starpu,lws,dgeqrf,9600,480,24,.1,2.916109e+00,4.045913e+02
starpu,lws,dpotrf,19200,480,24,.1,3.968947e+00,5.944853e+02
starpu,ws,dpotrf,4800,480,24,.1,1.376263e-01,2.679395e+02
starpu,lws,dpotrf,24000,480,24,.1,7.651547e+00,6.022688e+02
starpu,lws,dpotrf,7200,480,24,.1,2.730161e-01,4.558043e+02
starpu,lws,dgeqrf,4800,480,24,.1,5.644772e-01,2.613075e+02
starpu,ws,dpotrf,19200,480,24,.2,3.945258e+00,5.980548e+02
starpu,lws,dgeqrf,28800,480,24,.2,7.355669e+01,4.330287e+02
starpu,ws,dgeqrf,19200,480,24,.2,2.199729e+01,4.290492e+02
starpu,ws,dpotrf,14400,480,24,.2,1.708052e+00,5.827877e+02
starpu,ws,dpotrf,24000,480,24,.2,7.765374e+00,5.934406e+02
starpu,lws,dpotrf,2400,480,24,.2,5.646287e-02,8.166217e+01
starpu,ws,dpotrf,7200,480,24,.2,2.814899e-01,4.420831e+02
starpu,lws,dgeqrf,26400,480,24,.2,5.705562e+01,4.300082e+02
starpu,ws,dgeqrf,4800,480,24,.2,5.656062e-01,2.607859e+02
starpu,ws,dpotrf,16800,480,24,.2,2.623913e+00,6.024152e+02
starpu,ws,dgeqrf,26400,480,24,.2,5.673007e+01,4.324759e+02
starpu,ws,dgeqrf,24000,480,24,.2,4.261326e+01,4.325684e+02
starpu,lws,dpotrf,9600,480,24,.2,5.601124e-01,5.266052e+02
starpu,lws,dgeqrf,24000,480,24,.2,4.280625e+01,4.306183e+02
starpu,lws,dgeqrf,19200,480,24,.2,2.195220e+01,4.299305e+02
starpu,lws,dpotrf,24000,480,24,.2,7.650269e+00,6.023694e+02
starpu,ws,dgeqrf,14400,480,24,.2,9.422968e+00,4.225555e+02
starpu,lws,dgeqrf,2400,480,24,.2,2.233699e-01,8.256947e+01
starpu,ws,dgeqrf,28800,480,24,.2,7.362645e+01,4.326184e+02
starpu,ws,dpotrf,21600,480,24,.2,5.608579e+00,5.989869e+02
starpu,lws,dpotrf,16800,480,24,.2,2.626609e+00,6.017968e+02
starpu,ws,dgeqrf,2400,480,24,.2,2.264554e-01,8.144442e+01
starpu,ws,dgeqrf,12000,480,24,.2,5.557709e+00,4.146112e+02
starpu,lws,dpotrf,21600,480,24,.2,5.670128e+00,5.924849e+02
starpu,lws,dpotrf,14400,480,24,.2,1.701970e+00,5.848701e+02
starpu,ws,dpotrf,9600,480,24,.2,5.556119e-01,5.308707e+02
starpu,ws,dpotrf,26400,480,24,.2,1.029577e+01,5.957393e+02
starpu,ws,dpotrf,28800,480,24,.2,1.330339e+01,5.985719e+02
starpu,lws,dpotrf,12000,480,24,.2,1.007840e+00,5.715909e+02
starpu,lws,dgeqrf,12000,480,24,.2,5.591151e+00,4.121312e+02
starpu,lws,dpotrf,19200,480,24,.2,3.982053e+00,5.925287e+02
starpu,ws,dgeqrf,9600,480,24,.2,2.930092e+00,4.026605e+02
starpu,lws,dpotrf,7200,480,24,.2,2.838457e-01,4.384140e+02
starpu,lws,dgeqrf,14400,480,24,.2,9.391842e+00,4.239559e+02
starpu,lws,dgeqrf,16800,480,24,.2,1.493689e+01,4.232969e+02
starpu,ws,dgeqrf,16800,480,24,.2,1.480041e+01,4.272003e+02
starpu,lws,dgeqrf,7200,480,24,.2,1.373684e+00,3.623596e+02
starpu,lws,dpotrf,4800,480,24,.2,1.384761e-01,2.662952e+02
starpu,ws,dpotrf,4800,480,24,.2,1.314800e-01,2.804649e+02
starpu,ws,dgeqrf,21600,480,24,.2,3.123147e+01,4.302667e+02
starpu,ws,dgeqrf,7200,480,24,.2,1.373483e+00,3.624128e+02
starpu,lws,dgeqrf,21600,480,24,.2,3.119930e+01,4.307103e+02
starpu,lws,dgeqrf,9600,480,24,.2,2.972951e+00,3.968557e+02
starpu,lws,dgeqrf,4800,480,24,.2,5.573963e-01,2.646270e+02
starpu,ws,dpotrf,2400,480,24,.2,5.848533e-02,7.883824e+01
starpu,ws,dpotrf,12000,480,24,.2,9.995247e-01,5.763459e+02
starpu,lws,dpotrf,28800,480,24,.2,1.315461e+01,6.053420e+02
starpu,lws,dpotrf,26400,480,24,.2,1.025523e+01,5.980947e+02
starpu,ws,dgeqrf,7200,480,24,.3,1.374559e+00,3.621290e+02
starpu,lws,dgeqrf,2400,480,24,.3,2.235145e-01,8.251605e+01
starpu,ws,dgeqrf,14400,480,24,.3,9.354728e+00,4.256379e+02
starpu,ws,dgeqrf,19200,480,24,.3,2.203126e+01,4.283877e+02
starpu,ws,dpotrf,16800,480,24,.3,2.651112e+00,5.962348e+02
starpu,ws,dpotrf,4800,480,24,.3,1.335593e-01,2.760984e+02
starpu,ws,dpotrf,21600,480,24,.3,5.627347e+00,5.969892e+02
starpu,lws,dpotrf,19200,480,24,.3,3.976507e+00,5.933549e+02
starpu,ws,dgeqrf,16800,480,24,.3,1.489002e+01,4.246293e+02
starpu,lws,dgeqrf,7200,480,24,.3,1.374745e+00,3.620799e+02
starpu,lws,dgeqrf,4800,480,24,.3,5.672749e-01,2.600188e+02
starpu,ws,dpotrf,14400,480,24,.3,1.667828e+00,5.968433e+02
starpu,ws,dpotrf,2400,480,24,.3,5.894705e-02,7.822071e+01
starpu,ws,dpotrf,9600,480,24,.3,5.407667e-01,5.454442e+02
starpu,ws,dgeqrf,4800,480,24,.3,5.574942e-01,2.645805e+02
starpu,lws,dgeqrf,24000,480,24,.3,4.267578e+01,4.319348e+02
starpu,ws,dpotrf,7200,480,24,.3,2.841667e-01,4.379188e+02
starpu,ws,dgeqrf,21600,480,24,.3,3.126420e+01,4.298163e+02
starpu,lws,dpotrf,2400,480,24,.3,5.787628e-02,7.966787e+01
starpu,lws,dgeqrf,16800,480,24,.3,1.474454e+01,4.288192e+02
starpu,lws,dgeqrf,14400,480,24,.3,9.475792e+00,4.201999e+02
starpu,lws,dgeqrf,19200,480,24,.3,2.199586e+01,4.290771e+02
starpu,ws,dgeqrf,24000,480,24,.3,4.267128e+01,4.319803e+02
starpu,lws,dgeqrf,12000,480,24,.3,5.504905e+00,4.185882e+02
starpu,ws,dgeqrf,12000,480,24,.3,5.564295e+00,4.141204e+02
starpu,ws,dgeqrf,2400,480,24,.3,2.239656e-01,8.234984e+01
starpu,ws,dpotrf,12000,480,24,.3,1.008797e+00,5.710484e+02
starpu,lws,dgeqrf,26400,480,24,.3,5.673118e+01,4.324674e+02
starpu,lws,dgeqrf,28800,480,24,.3,7.350372e+01,4.333407e+02
starpu,lws,dpotrf,21600,480,24,.3,5.492682e+00,6.116257e+02
starpu,lws,dgeqrf,21600,480,24,.3,3.116994e+01,4.311161e+02
starpu,ws,dgeqrf,28800,480,24,.3,7.365931e+01,4.324254e+02
starpu,ws,dgeqrf,9600,480,24,.3,2.933582e+00,4.021814e+02
starpu,lws,dgeqrf,9600,480,24,.3,2.929729e+00,4.027105e+02
starpu,lws,dpotrf,9600,480,24,.3,5.375649e-01,5.486930e+02
starpu,lws,dpotrf,12000,480,24,.3,9.769523e-01,5.896624e+02
starpu,lws,dpotrf,7200,480,24,.3,2.825448e-01,4.404325e+02
starpu,lws,dpotrf,14400,480,24,.3,1.646972e+00,6.044011e+02
starpu,ws,dpotrf,24000,480,24,.3,7.646267e+00,6.026847e+02
starpu,lws,dpotrf,4800,480,24,.3,1.347939e-01,2.735697e+02
starpu,lws,dpotrf,26400,480,24,.3,1.023657e+01,5.991847e+02
starpu,lws,dpotrf,24000,480,24,.3,7.757798e+00,5.940201e+02
starpu,ws,dpotrf,26400,480,24,.3,1.023197e+01,5.994541e+02
starpu,lws,dpotrf,16800,480,24,.3,2.684258e+00,5.888723e+02
starpu,ws,dpotrf,28800,480,24,.3,1.335126e+01,5.964261e+02
starpu,ws,dgeqrf,26400,480,24,.3,5.680041e+01,4.319403e+02
starpu,lws,dpotrf,28800,480,24,.3,1.323820e+01,6.015196e+02
starpu,ws,dpotrf,19200,480,24,.3,3.986416e+00,5.918802e+02
starpu,ws,dgeqrf,12000,480,24,.4,5.605592e+00,4.110695e+02
starpu,ws,dpotrf,14400,480,24,.4,1.717822e+00,5.794733e+02
starpu,ws,dpotrf,19200,480,24,.4,3.966629e+00,5.948326e+02
starpu,ws,dpotrf,12000,480,24,.4,9.703370e-01,5.936824e+02
starpu,lws,dpotrf,14400,480,24,.4,1.691320e+00,5.885533e+02
starpu,lws,dpotrf,16800,480,24,.4,2.663587e+00,5.934423e+02
starpu,ws,dgeqrf,19200,480,24,.4,2.202200e+01,4.285679e+02
starpu,ws,dpotrf,2400,480,24,.4,5.890016e-02,7.828298e+01
starpu,ws,dgeqrf,16800,480,24,.4,1.487359e+01,4.250984e+02
starpu,ws,dpotrf,26400,480,24,.4,1.022212e+01,6.000320e+02
starpu,lws,dgeqrf,26400,480,24,.4,5.677033e+01,4.321692e+02
starpu,lws,dpotrf,4800,480,24,.4,1.334436e-01,2.763379e+02
starpu,lws,dpotrf,24000,480,24,.4,7.559436e+00,6.096074e+02
starpu,lws,dgeqrf,4800,480,24,.4,5.796048e-01,2.544874e+02
starpu,lws,dpotrf,2400,480,24,.4,5.738450e-02,8.035063e+01
starpu,lws,dpotrf,7200,480,24,.4,2.803060e-01,4.439502e+02
starpu,ws,dgeqrf,21600,480,24,.4,3.129607e+01,4.293786e+02
starpu,ws,dgeqrf,24000,480,24,.4,4.258643e+01,4.328410e+02
starpu,lws,dpotrf,28800,480,24,.4,1.328619e+01,5.993471e+02
starpu,ws,dpotrf,7200,480,24,.4,2.731039e-01,4.556578e+02
starpu,ws,dgeqrf,14400,480,24,.4,9.390028e+00,4.240378e+02
starpu,lws,dpotrf,12000,480,24,.4,9.757675e-01,5.903784e+02
starpu,lws,dgeqrf,24000,480,24,.4,4.296635e+01,4.290137e+02
starpu,ws,dpotrf,21600,480,24,.4,5.581265e+00,6.019182e+02
starpu,ws,dgeqrf,26400,480,24,.4,5.694840e+01,4.308178e+02
starpu,lws,dgeqrf,21600,480,24,.4,3.136907e+01,4.283794e+02
starpu,ws,dpotrf,4800,480,24,.4,1.329409e-01,2.773828e+02
starpu,ws,dgeqrf,9600,480,24,.4,2.929009e+00,4.028094e+02
starpu,ws,dpotrf,9600,480,24,.4,5.687182e-01,5.186366e+02
starpu,lws,dpotrf,21600,480,24,.4,5.576657e+00,6.024156e+02
starpu,lws,dpotrf,26400,480,24,.4,1.030483e+01,5.952157e+02
starpu,ws,dpotrf,16800,480,24,.4,2.700225e+00,5.853901e+02
starpu,lws,dpotrf,19200,480,24,.4,4.051817e+00,5.823265e+02
starpu,ws,dpotrf,24000,480,24,.4,7.775040e+00,5.927028e+02
starpu,ws,dgeqrf,4800,480,24,.4,5.697120e-01,2.589065e+02
starpu,lws,dgeqrf,28800,480,24,.4,7.364413e+01,4.325145e+02
starpu,lws,dgeqrf,16800,480,24,.4,1.477873e+01,4.278271e+02
starpu,lws,dpotrf,9600,480,24,.4,5.321318e-01,5.542952e+02
starpu,ws,dgeqrf,7200,480,24,.4,1.374495e+00,3.621460e+02
starpu,lws,dgeqrf,7200,480,24,.4,1.369386e+00,3.634970e+02
starpu,lws,dgeqrf,2400,480,24,.4,2.214675e-01,8.327874e+01
starpu,ws,dgeqrf,28800,480,24,.4,7.358142e+01,4.328832e+02
starpu,lws,dgeqrf,19200,480,24,.4,2.191806e+01,4.306002e+02
starpu,lws,dgeqrf,12000,480,24,.4,5.495228e+00,4.193253e+02
starpu,lws,dgeqrf,9600,480,24,.4,2.928217e+00,4.029183e+02
starpu,lws,dgeqrf,14400,480,24,.4,9.400312e+00,4.235739e+02
starpu,ws,dpotrf,28800,480,24,.4,1.326193e+01,6.004435e+02
starpu,ws,dgeqrf,2400,480,24,.4,2.231056e-01,8.266726e+01
starpu,lws,dgeqrf,24000,480,24,.5,4.275459e+01,4.311386e+02
starpu,ws,dpotrf,7200,480,24,.5,2.970850e-01,4.188765e+02
starpu,lws,dgeqrf,2400,480,24,.5,2.252004e-01,8.189829e+01
starpu,lws,dpotrf,2400,480,24,.5,5.727115e-02,8.050965e+01
starpu,ws,dgeqrf,19200,480,24,.5,2.198244e+01,4.293391e+02
starpu,lws,dpotrf,16800,480,24,.5,2.651292e+00,5.961943e+02
starpu,ws,dpotrf,2400,480,24,.5,5.899230e-02,7.816072e+01
starpu,lws,dgeqrf,4800,480,24,.5,5.610317e-01,2.629123e+02
starpu,ws,dgeqrf,21600,480,24,.5,3.130517e+01,4.292537e+02
starpu,lws,dpotrf,7200,480,24,.5,2.982623e-01,4.172231e+02
starpu,ws,dgeqrf,16800,480,24,.5,1.479879e+01,4.272470e+02
starpu,lws,dgeqrf,9600,480,24,.5,2.949766e+00,3.999749e+02
starpu,ws,dgeqrf,28800,480,24,.5,7.379950e+01,4.316039e+02
starpu,ws,dpotrf,28800,480,24,.5,1.325648e+01,6.006903e+02
starpu,ws,dgeqrf,26400,480,24,.5,5.690728e+01,4.311292e+02
starpu,lws,dpotrf,14400,480,24,.5,1.656178e+00,6.010414e+02
starpu,lws,dgeqrf,14400,480,24,.5,9.447187e+00,4.214722e+02
starpu,lws,dpotrf,4800,480,24,.5,1.385486e-01,2.661559e+02
starpu,ws,dgeqrf,2400,480,24,.5,2.247436e-01,8.206477e+01
starpu,lws,dgeqrf,16800,480,24,.5,1.481913e+01,4.266606e+02
starpu,ws,dpotrf,9600,480,24,.5,5.631767e-01,5.237398e+02
