precision,algorithm,n,b,runtime,scheduler,rep
FP64,potrf,40000,1000,starpu,dmda,1
FP64,potrf,40000,1000,starpu,dmdas,1
FP64,potrf,40000,1000,parsec,gd,1
FP64,potrf,40000,1000,parsec,lfq,1
FP64,getrf_nopiv,40000,1000,starpu,dmda,1
FP64,getrf_nopiv,40000,1000,starpu,dmdas,1
FP64,getrf_nopiv,40000,1000,parsec,gd,1
FP64,getrf_nopiv,40000,1000,parsec,lfq,1
