runtime,scheduler,algorithm,n,b,threads,rep,time,gflops
starpu,lws,geqrf,19200,256,24,.1,2.378879e+01,3.967381e+02
starpu,lws,potrf,19200,200,24,.1,4.369216e+00,5.400237e+02
starpu,ws,potrf,19200,480,24,.1,4.060581e+00,5.810697e+02
starpu,lws,geqrf,19200,960,24,.1,2.741785e+01,3.442255e+02
starpu,ws,geqrf,19200,256,24,.1,2.450397e+01,3.851588e+02
starpu,ws,potrf,19200,384,24,.1,4.046187e+00,5.831367e+02
starpu,lws,geqrf,19200,480,24,.1,2.223112e+01,4.245364e+02
starpu,lws,potrf,19200,384,24,.1,4.028758e+00,5.856595e+02
starpu,lws,potrf,19200,480,24,.1,4.161104e+00,5.670323e+02
starpu,ws,potrf,19200,200,24,.1,4.461498e+00,5.288538e+02
starpu,ws,potrf,19200,640,24,.1,4.222165e+00,5.588318e+02
starpu,ws,geqrf,19200,320,24,.1,2.228781e+01,4.234566e+02
starpu,lws,potrf,19200,256,24,.1,4.171977e+00,5.655545e+02
starpu,lws,geqrf,19200,320,24,.1,2.229994e+01,4.232263e+02
starpu,lws,geqrf,19200,640,24,.1,2.661364e+01,3.546273e+02
starpu,ws,potrf,19200,960,24,.1,4.503999e+00,5.238634e+02
starpu,lws,geqrf,19200,384,24,.1,2.210810e+01,4.268987e+02
starpu,ws,geqrf,19200,384,24,.1,2.216085e+01,4.258827e+02
starpu,ws,geqrf,19200,960,24,.1,2.731076e+01,3.455752e+02
starpu,ws,potrf,19200,320,24,.1,4.091364e+00,5.766977e+02
starpu,lws,geqrf,19200,200,24,.1,2.561872e+01,3.683993e+02
starpu,lws,potrf,19200,960,24,.1,4.295911e+00,5.492387e+02
starpu,ws,geqrf,19200,200,24,.1,2.554061e+01,3.695261e+02
starpu,lws,potrf,19200,640,24,.1,4.057050e+00,5.815754e+02
starpu,ws,geqrf,19200,640,24,.1,2.641510e+01,3.572926e+02
starpu,ws,potrf,19200,256,24,.1,4.226673e+00,5.582358e+02
starpu,ws,geqrf,19200,480,24,.1,2.266378e+01,4.164320e+02
starpu,lws,potrf,19200,320,24,.1,4.099038e+00,5.756180e+02
starpu,lws,potrf,19200,960,24,.2,4.472141e+00,5.275953e+02
starpu,ws,potrf,19200,640,24,.2,4.167050e+00,5.662232e+02
starpu,ws,potrf,19200,480,24,.2,4.135265e+00,5.705754e+02
starpu,ws,geqrf,19200,320,24,.2,2.231420e+01,4.229558e+02
starpu,ws,geqrf,19200,384,24,.2,2.215342e+01,4.260254e+02
starpu,ws,geqrf,19200,960,24,.2,2.797069e+01,3.374218e+02
starpu,ws,potrf,19200,384,24,.2,4.078773e+00,5.784779e+02
starpu,ws,potrf,19200,256,24,.2,4.234637e+00,5.571860e+02
starpu,lws,potrf,19200,480,24,.2,4.041721e+00,5.837811e+02
starpu,ws,potrf,19200,320,24,.2,4.148145e+00,5.688038e+02
starpu,ws,geqrf,19200,640,24,.2,2.647876e+01,3.564337e+02
starpu,ws,geqrf,19200,200,24,.2,2.564144e+01,3.680731e+02
starpu,lws,potrf,19200,640,24,.2,4.144053e+00,5.693654e+02
starpu,lws,geqrf,19200,480,24,.2,2.244605e+01,4.204714e+02
starpu,lws,potrf,19200,384,24,.2,4.061725e+00,5.809060e+02
starpu,lws,geqrf,19200,200,24,.2,2.545991e+01,3.706974e+02
starpu,lws,potrf,19200,200,24,.2,4.503148e+00,5.239625e+02
starpu,ws,potrf,19200,200,24,.2,4.430167e+00,5.325940e+02
starpu,lws,geqrf,19200,640,24,.2,2.615115e+01,3.608989e+02
starpu,lws,geqrf,19200,384,24,.2,2.205333e+01,4.279589e+02
starpu,ws,geqrf,19200,480,24,.2,2.228976e+01,4.234195e+02
starpu,lws,potrf,19200,256,24,.2,4.122500e+00,5.723420e+02
starpu,lws,geqrf,19200,320,24,.2,2.229051e+01,4.234054e+02
starpu,lws,geqrf,19200,960,24,.2,2.796121e+01,3.375362e+02
starpu,lws,geqrf,19200,256,24,.2,2.439846e+01,3.868245e+02
starpu,ws,potrf,19200,960,24,.2,4.429434e+00,5.326821e+02
starpu,lws,potrf,19200,320,24,.2,4.154587e+00,5.679218e+02
starpu,ws,geqrf,19200,256,24,.2,2.432108e+01,3.880553e+02
starpu,ws,geqrf,19200,384,24,.3,2.229889e+01,4.232462e+02
starpu,lws,potrf,19200,384,24,.3,4.104896e+00,5.747967e+02
starpu,ws,potrf,19200,960,24,.3,4.400632e+00,5.361686e+02
starpu,ws,geqrf,19200,320,24,.3,2.233315e+01,4.225970e+02
starpu,ws,geqrf,19200,480,24,.3,2.231372e+01,4.229650e+02
starpu,ws,geqrf,19200,200,24,.3,2.558513e+01,3.688831e+02
starpu,ws,potrf,19200,320,24,.3,4.112695e+00,5.737066e+02
starpu,lws,geqrf,19200,200,24,.3,2.539282e+01,3.716768e+02
starpu,lws,potrf,19200,200,24,.3,4.475087e+00,5.272479e+02
starpu,lws,potrf,19200,960,24,.3,4.354047e+00,5.419051e+02
starpu,ws,geqrf,19200,640,24,.3,2.657080e+01,3.551990e+02
starpu,ws,potrf,19200,256,24,.3,4.150685e+00,5.684557e+02
starpu,lws,potrf,19200,640,24,.3,4.084346e+00,5.776887e+02
